Rank	Feature Name	Feature Importance
384	ProductInfo_24	0.0
385	ProductInfo_25	0.0
386	ProductInfo_26	0.0
387	ProductInfo_20	0.0
388	ProductInfo_21	0.0
389	ProductInfo_22	0.0
390	ProductInfo_23	0.0
391	ProductInfo_28	0.0
392	ProductInfo_29	0.0
393	UserInfo_98	0.0
394	UserInfo_99	0.0
395	UserInfo_90	0.0
396	UserInfo_93	0.0
397	UserInfo_94	0.0
398	UserInfo_95	0.0
399	UserInfo_96	0.0
400	UserInfo_97	0.0
401	UserInfo_199	0.0
402	ProductInfo_132	0.0
403	ProductInfo_131	0.0
404	ProductInfo_130	0.0
405	ProductInfo_137	0.0
406	ProductInfo_136	0.0
407	ProductInfo_135	0.0
408	ProductInfo_134	0.0
409	ProductInfo_139	0.0
410	ProductInfo_138	0.0
411	UserInfo_157	0.0
412	UserInfo_154	0.0
413	UserInfo_151	0.0
414	UserInfo_256	0.0
415	UserInfo_251	0.0
416	UserInfo_250	0.0
417	UserInfo_158	0.0
418	UserInfo_45	0.0
419	UserInfo_42	0.0
420	UserInfo_41	0.0
421	ProductInfo_82	0.0
422	ProductInfo_81	0.0
423	ProductInfo_86	0.0
424	ProductInfo_87	0.0
425	ProductInfo_84	0.0
426	ProductInfo_85	0.0
427	ProductInfo_88	0.0
428	ProductInfo_79	0.0
429	ProductInfo_78	0.0
430	ProductInfo_76	0.0
431	ProductInfo_75	0.0
432	ProductInfo_74	0.0
433	ProductInfo_73	0.0
434	ProductInfo_72	0.0
435	ProductInfo_71	0.0
436	ProductInfo_180	0.0
437	ProductInfo_181	0.0
438	ProductInfo_186	0.0
439	ProductInfo_187	0.0
440	ProductInfo_184	0.0
441	ProductInfo_185	0.0
442	ProductInfo_188	0.0
443	UserInfo_264	0.0
444	UserInfo_266	0.0
445	UserInfo_267	0.0
446	UserInfo_260	0.0
447	UserInfo_261	0.0
448	UserInfo_263	0.0
449	UserInfo_269	0.0
450	UserInfo_211	0.0
451	UserInfo_214	0.0
452	UserInfo_216	0.0
453	UserInfo_219	0.0
454	ProductInfo_1	0.0
455	ProductInfo_2	0.0
456	ProductInfo_168	0.0
457	ProductInfo_169	0.0
458	ProductInfo_6	0.0
459	ProductInfo_165	0.0
460	ProductInfo_160	0.0
461	ProductInfo_163	0.0
462	UserInfo_104	0.0
463	UserInfo_107	0.0
464	UserInfo_106	0.0
465	UserInfo_101	0.0
466	UserInfo_103	0.0
467	UserInfo_102	0.0
468	ProductInfo_46	0.0
469	ProductInfo_47	0.0
470	ProductInfo_44	0.0
471	ProductInfo_45	0.0
472	ProductInfo_42	0.0
473	ProductInfo_43	0.0
474	ProductInfo_48	0.0
475	ProductInfo_49	0.0
476	UserInfo_11	0.0
477	UserInfo_14	0.0
478	UserInfo_19	0.0
479	UserInfo_198	0.0
480	ProductInfo_32	0.0
481	ProductInfo_31	0.0
482	ProductInfo_30	0.0
483	ProductInfo_37	0.0
484	ProductInfo_35	0.0
485	ProductInfo_34	0.0
486	ProductInfo_39	0.0
487	ProductInfo_38	0.0
488	UserInfo_192	0.0
